Id,Start,Name,Impact,Currency
f0ef2402-cccc-4af9-a112-81aa67088125,11/10/2022 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
c26a5e24-bf90-4fe5-bc74-4713f3d534e0,11/23/2022 19:00:00,FOMC Minutes,HIGH,USD
6578282f-d2bc-4b11-a5b7-da9b712309fb,11/30/2022 18:30:00,Fed's Chair Powell speech,HIGH,USD
1f55f905-7e41-4d64-aa88-92ae220a2254,12/13/2022 13:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
d54811b3-b6e6-4ff2-83bc-2bea221f0c98,12/13/2022 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
2ca5b57d-d941-451c-81d7-3df69d75ac0f,12/14/2022 19:00:00,Fed Interest Rate Decision,HIGH,USD
fb05193d-b124-4ca0-8b93-de129b627a67,12/14/2022 19:00:00,Fed's Monetary Policy Statement,HIGH,USD
a221ae96-731e-47ed-b253-36d657d52138,12/14/2022 19:00:00,FOMC Economic Projections,HIGH,USD
12e8ebe4-19e5-4b41-8e72-b89b93517dfa,12/14/2022 19:00:00,Interest Rate Projections - 1st year,HIGH,USD
fe892e9f-2dac-4a21-8732-e6dd82321979,12/14/2022 19:00:00,Interest Rate Projections - 2nd year,HIGH,USD
276f7bb2-d48d-4fa2-aac5-43e1619d782e,12/14/2022 19:00:00,Interest Rate Projections - 3rd year,HIGH,USD
a9d7661d-c771-4d95-854c-1296fc7d98ac,12/14/2022 19:00:00,Interest Rate Projections - Current,HIGH,USD
2bc1ad77-f6d0-4f71-9f67-216e3c422b59,12/14/2022 19:00:00,Interest Rate Projections - Longer,HIGH,USD
3cdd6b7c-274f-4242-a09b-fe8adcf2fd38,12/14/2022 19:30:00,FOMC Press Conference,HIGH,USD
012f437e-6857-4d9a-92f6-10060bc1a601,01/04/2023 19:00:00,FOMC Minutes,HIGH,USD
9e97609e-ee69-444e-8d5b-6c1e39d985a1,01/10/2023 14:00:00,Fed's Chair Powell speech,HIGH,USD
9e5c2ddf-59a1-43f3-a82a-c7832d30830b,01/12/2023 13:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
bc18b07e-fa0e-463e-ac97-4430d08269c8,01/12/2023 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
26943ffd-cc99-4ad4-aa8d-e0c1c602863b,01/12/2023 13:30:00,President Biden speech,HIGH,USD
07a989bb-cb91-4a92-b409-53c05e7f347b,02/01/2023 19:00:00,Fed Interest Rate Decision,HIGH,USD
58f19448-af6c-4cb7-96eb-521f7114f389,02/01/2023 19:00:00,Fed's Monetary Policy Statement,HIGH,USD
4c76c7ab-1560-4dd3-914d-2b25ca864801,02/01/2023 19:30:00,FOMC Press Conference,HIGH,USD
76ad0dd8-1042-4674-9721-d61af37cdae6,02/07/2023 17:40:00,Fed's Chair Powell speech,HIGH,USD
53d62d95-e78f-4b2d-ae48-df2b7fde2079,02/08/2023 02:00:00,President Biden speech,HIGH,USD
7a5af192-7293-49b2-9bbb-0837c183dfdf,02/14/2023 13:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
d7ef8a8f-f85a-4973-bb92-5cfffaf54648,02/14/2023 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
bdcbf957-16f6-4360-80f3-85318b23ad34,02/22/2023 19:00:00,FOMC Minutes,HIGH,USD
9c59de74-fdd7-4b46-bf75-abb0cdaaa18a,03/07/2023 15:00:00,Fed's Chair Powell testifies,HIGH,USD
ae2c3e8b-0802-44f9-ba0e-50dfb85524b5,03/08/2023 15:00:00,Fed's Chair Powell testifies,HIGH,USD
5b90b9dc-1a0c-4c23-bf34-bb89b47ad994,03/13/2023 13:00:00,President Biden speech,HIGH,USD
0e6c57d2-0ca4-4668-b36f-d387027d9a0d,03/14/2023 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
fb327c5e-bfdc-45a7-a424-3a351925e1ef,03/14/2023 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
a234e3bb-c4c6-4900-95f7-a259d85a0f28,03/22/2023 18:00:00,Fed Interest Rate Decision,HIGH,USD
68dd8fa0-1aeb-466a-b7c4-4ce08dad5bf6,03/22/2023 18:00:00,Fed's Monetary Policy Statement,HIGH,USD
dbe6988c-5cd4-4b9c-9ff0-629cc6b2a84f,03/22/2023 18:00:00,FOMC Economic Projections,HIGH,USD
692e5072-e7fb-4dbf-a189-49cf56f020a3,03/22/2023 18:00:00,Interest Rate Projections - 1st year,HIGH,USD
3412aa67-1a36-49e8-8489-72cf7d1fc322,03/22/2023 18:00:00,Interest Rate Projections - 2nd year,HIGH,USD
112347e0-7390-400e-9864-f11c394b106c,03/22/2023 18:00:00,Interest Rate Projections - Current,HIGH,USD
db01f334-34d2-4434-9d8c-991ba3a01a82,03/22/2023 18:00:00,Interest Rate Projections - Longer,HIGH,USD
547a9ba8-d139-4bc7-8e5b-90ccefa0bec9,03/22/2023 18:30:00,FOMC Press Conference,HIGH,USD
873a792d-33c3-42fa-af4e-1ede1114915b,04/12/2023 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
6aceb378-fe6b-474c-be0b-1bfa3448a4db,04/12/2023 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
717726a7-f178-4127-80c9-b61498672f28,04/12/2023 18:00:00,FOMC Minutes,HIGH,USD
d76d12e7-685c-42cb-b5df-ab627a8ec57e,05/03/2023 18:00:00,Fed Interest Rate Decision,HIGH,USD
2d0891e3-be31-4c75-858d-dc57838c1b45,05/03/2023 18:00:00,Fed's Monetary Policy Statement,HIGH,USD
ef309845-a6dc-40a0-bca0-93752987797a,05/03/2023 18:30:00,FOMC Press Conference,HIGH,USD
5d673523-a293-4b31-a810-118ba4abeae3,05/10/2023 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
17e487a0-c512-4d20-b96f-fc42eb51f991,05/10/2023 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
74e14877-f5d8-445a-8a57-9b0d751d1655,05/19/2023 15:00:00,Fed's Chair Powell speech,HIGH,USD
b8d1bc00-7380-46a4-895d-bee1ec02053c,05/24/2023 18:00:00,FOMC Minutes,HIGH,USD
ba68271d-966d-4512-b06f-5940aad61af2,06/13/2023 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
f6cb62b0-375b-42bf-ab4e-132351a3afb6,06/13/2023 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
89b8e9b5-bad1-42ab-a2ca-2ca153eced3c,06/14/2023 18:00:00,Fed Interest Rate Decision,HIGH,USD
8e5048c4-3fb2-4c44-b5a0-cf883eb1507b,06/14/2023 18:00:00,Fed's Monetary Policy Statement,HIGH,USD
684e9d91-f36c-41ac-a6f8-17020231661a,06/14/2023 18:00:00,FOMC Economic Projections,HIGH,USD
86d42d66-2acf-47e1-8fd5-7fd0d1db73a3,06/14/2023 18:00:00,Interest Rate Projections - 1st year,HIGH,USD
3db312c2-2b29-46f6-80f4-22e47b9e4de3,06/14/2023 18:00:00,Interest Rate Projections - 2nd year,HIGH,USD
2aab2285-da98-407c-a883-e201afc4689b,06/14/2023 18:00:00,Interest Rate Projections - Current,HIGH,USD
58a2ff38-ab0b-4961-ab5c-68ac17c6c30d,06/14/2023 18:00:00,Interest Rate Projections - Longer,HIGH,USD
d16db21d-2434-4351-b927-9d30e78c1586,06/14/2023 18:30:00,FOMC Press Conference,HIGH,USD
bac5e101-250a-43fa-a8dd-ceb2e03c4ed3,06/21/2023 14:00:00,Fed's Chair Powell testifies,HIGH,USD
398e71dd-c1af-4484-9e3a-798422c7eb33,06/22/2023 14:00:00,Fed's Chair Powell testifies,HIGH,USD
